id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow2.5,170.0,98338697#0_0,5.1,0.0,0.0,254.0,758926622_0,154.47,13.87,84.0,985.82,0.0,0,0.0,10.81,0,tripinfo_flow2.5 emissions_flow2.5,car,1.05,,
flow3.0,187.0,-758926622_0,5.1,0.0,0.0,258.0,1200615233_0,80.97,12.88,71.0,669.44,0.0,0,0.0,9.2,0,tripinfo_flow3.0 emissions_flow3.0,car,1.03,,
flow2.5.1,173.0,98338697#0_0,5.1,0.0,3.0,259.0,758926622_0,154.47,12.71,86.0,985.82,0.0,0,0.0,13.5,0,tripinfo_flow2.5.1 emissions_flow2.5.1,car,0.89,,
flow3.0.1,190.0,-758926622_0,5.1,0.0,3.0,262.0,1200615233_0,80.97,13.76,72.0,669.44,0.0,0,0.0,11.22,0,tripinfo_flow3.0.1 emissions_flow3.0.1,car,1.05,,
flow2.5.2,176.0,98338697#0_0,5.1,0.0,6.0,263.0,758926622_0,154.47,13.29,87.0,985.82,0.0,0,0.0,13.68,0,tripinfo_flow2.5.2 emissions_flow2.5.2,car,0.94,,
flow3.0.2,193.0,-758926622_0,5.1,0.0,6.0,267.0,1200615233_0,80.97,13.38,74.0,669.44,0.0,0,0.0,14.92,0,tripinfo_flow3.0.2 emissions_flow3.0.2,car,1.12,,
flow2.5.3,179.0,98338697#0_0,5.1,0.0,9.0,268.0,758926622_0,154.47,13.07,89.0,985.82,0.0,0,0.0,14.96,0,tripinfo_flow2.5.3 emissions_flow2.5.3,car,0.86,,
flow2.5.4,182.0,98338697#0_0,5.1,0.0,12.0,270.0,758926622_0,154.47,13.71,88.0,985.82,0.0,0,0.0,15.26,0,tripinfo_flow2.5.4 emissions_flow2.5.4,car,1.09,,
flow3.0.3,196.0,-758926622_0,5.1,0.0,9.0,272.0,1200615233_0,80.97,12.63,76.0,669.44,0.0,0,0.0,13.33,0,tripinfo_flow3.0.3 emissions_flow3.0.3,car,0.99,,
flow3.0.4,199.0,-758926622_0,5.1,0.0,12.0,276.0,1200615233_0,80.97,11.87,77.0,669.44,0.0,0,0.0,10.97,0,tripinfo_flow3.0.4 emissions_flow3.0.4,car,0.93,,
flow5.6,259.0,67209282#0_0,5.1,0.0,0.0,383.0,-67504621_0,163.75,7.9,124.0,732.17,21.0,1,0.0,34.47,0,tripinfo_flow5.6 emissions_flow5.6,car_slow,0.92,,
flow5.6.1,263.0,67209282#0_0,5.1,0.0,4.0,386.0,-67504621_0,163.75,7.74,123.0,732.17,19.0,1,0.0,33.38,0,tripinfo_flow5.6.1 emissions_flow5.6.1,car_slow,0.95,,
flow5.6.2,267.0,67209282#0_0,5.1,0.0,8.0,388.0,-67504621_0,163.75,7.86,121.0,732.17,17.0,1,0.0,32.07,0,tripinfo_flow5.6.2 emissions_flow5.6.2,car_slow,1.13,,
flow5.6.3,270.0,67209282#0_0,5.1,0.0,11.0,391.0,-67504621_0,163.75,8.32,121.0,732.17,15.0,1,0.0,31.9,0,tripinfo_flow5.6.3 emissions_flow5.6.3,car_slow,0.93,,
flow5.6.4,274.0,67209282#0_0,5.1,0.0,15.0,393.0,-67504621_0,163.75,8.21,119.0,732.17,13.0,1,0.0,30.52,0,tripinfo_flow5.6.4 emissions_flow5.6.4,car_slow,1.18,,
flow2.0_bicycle,314.0,758926614#0_0,5.1,0.0,0.67,396.0,758926626_0,143.98,8.46,82.0,880.34,0.0,0,0.0,12.5,0,tripinfo_flow2.0_bicycle emissions_flow2.0_bicycle,car_fast,1.15,,
