id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow2.5,170.0,98338697#0_0,5.1,0.0,0.0,255.0,758926622_0,154.47,12.81,85.0,985.82,0.0,0,0.0,12.45,0,tripinfo_flow2.5 emissions_flow2.5,car,0.94,,
flow2.5.1,173.0,98338697#0_0,5.1,0.0,3.0,260.0,758926622_0,154.47,12.99,87.0,985.82,0.0,0,0.0,13.79,0,tripinfo_flow2.5.1 emissions_flow2.5.1,car,0.86,,
flow2.5.2,176.0,98338697#0_0,5.1,0.0,6.0,262.0,758926622_0,154.47,13.03,86.0,985.82,0.0,0,0.0,13.92,0,tripinfo_flow2.5.2 emissions_flow2.5.2,car,1.09,,
flow3.0,187.0,-758926622_0,5.1,0.0,0.0,264.0,1200615233_0,80.97,12.72,77.0,669.44,0.0,0,0.0,10.12,0,tripinfo_flow3.0 emissions_flow3.0,car,0.93,,
flow2.5.3,179.0,98338697#0_0,5.1,0.0,9.0,265.0,758926622_0,154.47,13.11,86.0,985.82,0.0,0,0.0,13.5,0,tripinfo_flow2.5.3 emissions_flow2.5.3,car,1.03,,
flow2.5.4,182.0,98338697#0_0,5.1,0.0,12.0,270.0,758926622_0,154.47,13.79,88.0,985.82,0.0,0,0.0,14.33,0,tripinfo_flow2.5.4 emissions_flow2.5.4,car,1.05,,
flow3.0.1,190.0,-758926622_0,5.1,0.0,3.0,270.0,1200615233_0,80.97,11.1,80.0,669.44,0.0,0,0.0,9.81,0,tripinfo_flow3.0.1 emissions_flow3.0.1,car,0.88,,
flow2.5.5,185.0,98338697#0_0,5.1,0.0,15.0,272.0,758926622_0,154.47,13.02,87.0,985.82,0.0,0,0.0,13.97,0,tripinfo_flow2.5.5 emissions_flow2.5.5,car,1.12,,
flow3.0.2,193.0,-758926622_0,5.1,0.0,6.0,273.0,1200615233_0,80.97,12.28,80.0,669.44,1.0,1,0.0,14.39,0,tripinfo_flow3.0.2 emissions_flow3.0.2,car,0.94,,
flow2.5.6,188.0,98338697#0_0,5.1,0.0,18.0,276.0,758926622_0,154.47,12.88,88.0,985.82,0.0,0,0.0,15.31,0,tripinfo_flow2.5.6 emissions_flow2.5.6,car,0.99,,
